whsturn:whsturn - rdf:about,whsturn:whsturn - dc:type,whsturn:whsturn - dc:title,whsturn:whsturn - rdfs:seeAlso - rdf:resource,whsturn:whsturn - collex:genre,whsturn:whsturn - collex:archive,whsturn:whsturn - collex:federation,whsturn:whsturn - collex:discipline,whsturn:whsturn - role:PBL,whsturn:whsturn - dc:date,whsturn:whsturn - dc:date - collex:date - rdf:value,whsturn:whsturn - dc:date - collex:date - rdfs:label,whsturn:whsturn - role:CRE,whsturn:whsturn - dc:language,whsturn:whsturn - dc:subject
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28299,Manuscript,4,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28299,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28300,Manuscript,5,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28300,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28301,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28301,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28302,Manuscript,"Brief Ho-Chunk Language Vocabularies, 1830-1930",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28302,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,Native Americans
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28699,Codex,Menomini lexicon,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28699,Unspecified,turningpoints-whs,GLA,History,Milwaukee Public Museum Press,1975,,,"Bloomfield, Leonard, 1887-1949",Menominee,Native Americans
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28700,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28700,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28701,Manuscript,2,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28701,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28702,Manuscript,3,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28702,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28703,Manuscript,4,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28703,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28704,Manuscript,5,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28704,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
