dc:title 1,dc:identifier 1,dc:identifier 2,dc:publisher 1,dc:publisher 2,identifier 1,dc:date 1,dc:type 1,dc:creator 1,dc:creator 2,dc:creator 3,dc:creator 4,dc:creator 5,dc:creator 6,dc:creator 7,collex:genre 1,dc:description 1,dc:description 2,dc:description 3,dc:description 4,dc:description 5,dc:description 6,dc:source 1,collex:discipline 1,dc:subject 1,dc:subject 2,dc:subject 3,dc:subject 4,dc:subject 5,dc:subject 6,dc:subject 7,dc:language 1
"A lake breeze index by W. Gale Biggs, Maurice E. Graves.",(dlps) 3486415.0001.001,http://name.umdl.umich.edu/3486415.0001.001,"Ann Arbor, Mich. :: University of Michigan, College of Engineering, Dept. of Engineering Mechanics, Meteorological Laboratories,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3486415.0001.001,1962,text,"Biggs, W. Gale (Walter Gale), 1935-","Graves, Maurice E.",University of Michigan. Meteorological Laboratories.,University of Michigan. Great Lakes Research Division.,,,,Unspecified,30 p. : ill. ; 28 cm.,Cover title.,"Electronic text and image data. Ann Arbor, Mich. : University of Michigan, Digital Library Initiatives, 2000. Includes TIFF files and keyword searchable text. ([University of Michigan Technical Reports])",,,,The University of Michigan Great Lakes Digital Library,Science,Sea breeze.,,,,,,,eng
"Plankton assemblages of the Gambia River, West Africa, 1983-1984 / by Marcus J. Healey, Russell A. Moll, and Donna Page.",(dlps) 2442363.0001.001,http://name.umdl.umich.edu/2442363.0001.001,"Ann Arbor, Mich. :: Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:2442363.0001.001,1985,text,"Healey, Marcus J.",,,,,,,Unspecified,"vi, 106 p. : ill. ; 28 cm.",,,,,,The University of Michigan Great Lakes Digital Library,Science,Plankton -- Gambia River.,,,,,,,eng
"Adult, juvenile and larval fish populations in the vicinity of the J.H. Campbell Power Plant, eastern Lake Michigan, 1977-1980 / David J. Jude ... [et al.].",(dlps) 4739884.0001.001,http://name.umdl.umich.edu/4739884.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739884.0001.001,1981,text,"Jude, David J. (David John), 1944-",Consumers Power Company.,University of Michigan. Great Lakes Research Division.,,,,,,"xvi, 364, 113 p. : ill. ; 28 cm. +",Project Director: David J. Jude.,Under contract with Consumers Power Company.,Appendices 12-41 (p. A114-A358) on 5 microfiches in pocket.,Includes bibliographical references (p. 351-364).,,The University of Michigan Great Lakes Digital Library,,"Fish populations -- Michigan, Lake.",Fishes -- Effect of temperature on.,"Thermal pollution of rivers, lakes, etc. -- Environmental aspects -- Michigan, Lake.","Power-plants -- Environmental aspects -- Michigan, Lake.",,,,eng
Entrainment of phytoplankton at the Donald C. Cook nuclear plant-1980-1982 / James Barres...[et al.].,(dlps) 4742377.0001.001,http://name.umdl.umich.edu/4742377.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742377.0001.001,1984,text,"Barres, James.",University of Michigan. Great Lakes Research Division.,,,,,,,92 p. : ill. ; 28 cm.,Cover title.,"Under contract with American Electric Power Service Corporation, Indiana & Michigan Electric Company.","December, 1984.",,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
"Basic issues in Great Lakes research : proceedings of a workshop sponsored by the U.S. National Science Foundation and the University of Michigan, 1-3 November 1986, Kellogg Biological Station, Hickory Corners, Michigan / Great Lakes Research Division, The University of Michigan.",(dlps) 4740231.0001.001,http://name.umdl.umich.edu/4740231.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740231.0001.001,1987,text,University of Michigan. Great Lakes and Marine Waters Center.,University of Michigan. Great Lakes Research Division.,Workshop on Basic Issues in Great Lakes Research,,,,,,"iii, 174 p. : ill. ; 28 cm.",Cover title.,May 1987.,Includes bibliographical references.,,,The University of Michigan Great Lakes Digital Library,,Limnology -- Great Lakes.,Water chemistry -- Great Lakes.,Lake ecology -- Great Lakes.,Freshwater biology -- Great Lakes.,Eutrophication -- Great Lakes.,,,eng
"Scuba observations in eastern Lake Michigan near Muskegon Harbor, 13-14 September 1979 / John A. Dorr, David J. Jude.",(dlps) 4739129.0001.001,http://name.umdl.umich.edu/4739129.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739129.0001.001,1980,text,"Dorr, John A., III.","Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,15 p. ;  28 cm.,Includes bibliographical references (p. 15).,,,,,The University of Michigan Great Lakes Digital Library,,"Michigan, Lake.",,,,,,,eng
"Diver assessment of the inshore southeastern Lake Michigan environment near the D.C. Cook Nuclear Plant, 1973-1982 / John A. Dorr III and David J. Jude.",(dlps) 4740219.0001.001,http://name.umdl.umich.edu/4740219.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740219.0001.001,1986,text,"Dorr, John A., III.","Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,"xi, 160 p. : ill. ; 28 cm.",Cover title.,Includes bibliographical references (p. 140-144).,,,,The University of Michigan Great Lakes Digital Library,,"Lake ecology -- Michigan, Lake.","Lake animals -- Michigan, Lake.","Lake plants -- Michigan, Lake.","Nuclear power plants -- Environmental aspects -- Michigan, Lake.",,,,eng
"Great Lakes programs and problems : statements presented to the Great Lakes Commission at the annual meeting November 12-13, 1956.",(dlps) 1349815.0001.001,http://name.umdl.umich.edu/1349815.0001.001,"Ann Arbor, Mich. :: The Commission,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:1349815.0001.001,1956,text,Great Lakes Commission.,University of Michigan. Great Lakes Research Division.,,,,,,Unspecified,53 p. : maps ; 28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,Science,Great Lakes -- Research.,,,,,,,eng
"Nondestructive activation analysis of environmental samples : technical report / [by] Richard Dams [and] John A. Robbins. John W. Winchester, Project Director.",(dlps) 4738143.0001.001,http://name.umdl.umich.edu/4738143.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738143.0001.001,1970,text,"Dams, Richard.","Robbins, John Alan, author.",University of Michigan. Great Lakes Research Division.,,,,,,101 p. : ill. ; 28 cm.,ORA Projects 08903 and 12341.,"Supported by U. S. Atomic Energy Commission, Chicago Operations Office, Contract #AT (11-1)-1705, and Institute of Science and Technology, University of Michigan.",,,,The University of Michigan Great Lakes Digital Library,,Nuclear activation analysis.,Environmental testing.,,,,,,eng
Spatial and temporal variations in phytoplankton and associated environmental factors in the Grand River outlet and adjacent waters of Lake Michigan / by Elzbieta Ewa Kopczynska.,(dlps) 4739245.0001.001,http://name.umdl.umich.edu/4739245.0001.001,"Ann Arbor, Mich. :: [s.n.],","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739245.0001.001,1973,text,"Kopczynska, Elzbieta Ewa.",University of Michigan. Great Lakes Research Division.,,,,,,,2 v. ;  28 cm.,Cover title.,Series stamped on cover.,,,,The University of Michigan Great Lakes Digital Library,,"Evaporation (Meteorology) -- Michigan, Lake.","Phytoplankton -- Michigan, Lake.",Limnology.,,,,,eng
