dc:title 1,dc:identifier 1,dc:identifier 2,dc:publisher 1,dc:publisher 2,identifier 1,dc:date 1,dc:type 1,dc:creator 1,dc:creator 2,dc:creator 3,dc:creator 4,dc:creator 5,dc:creator 6,dc:creator 7,collex:genre 1,dc:description 1,dc:description 2,dc:description 3,dc:description 4,dc:description 5,dc:description 6,dc:source 1,collex:discipline 1,dc:subject 1,dc:subject 2,dc:subject 3,dc:subject 4,dc:subject 5,dc:subject 6,dc:subject 7,dc:language 1
"Lake Huron bibliography, with limited summaries / by Ronald Rossmann, Thomas Treese.",(dlps) 4739892.0001.001,http://name.umdl.umich.edu/4739892.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739892.0001.001,1981,text,"Rossmann, Ronald.","Treese, Thomas.","Rockwell, David C.",United States. Environmental Protection Agency.,University of Michigan. Great Lakes Research Division.,,,,"v, 143 p. ;  28 cm.",Project officer: David C. Rockwell.,"Under contract with United States Environmental Protection Agency, Grants R 005510-01-0 and R-005510-02-0.""",,,,The University of Michigan Great Lakes Digital Library,,"Limnology -- Huron, Lake (Mich. and Ont.)","Freshwater biology -- Huron, Lake (Mich. and Ont.)","Huron, Lake (Mich. and Ont.)",,,,,eng
Winter ice cover in the Great Lakes / John A. Heap.,(dlps) 4737682.0001.001,http://name.umdl.umich.edu/4737682.0001.001,"Ann Arbor, Mich. :: Institute of Science and Technology, the University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737682.0001.001,1963,text,"Heap, John A.",University of Michigan. Great Lakes Research Division.,,,,,,Unspecified,"1xx p. : ill., maps ; 28 cm.",Cover title.,,,,,The University of Michigan Great Lakes Digital Library,Science,"Ice on rivers, lakes, etc. -- Great Lakes.",,,,,,,eng
"Inshore Lake Michigan fish populations near the D.C. Cook Nuclear Power Plant during preoperational years, 1973, 1974 / by D.J. Jude ... [et al.].",(dlps) 4739031.0001.001,http://name.umdl.umich.edu/4739031.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739031.0001.001,1979,text,"Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,,"x, 529 p. : ill. ; 28 cm.",Includes bibliographical references (p. 509-529).,,,,,The University of Michigan Great Lakes Digital Library,,"Fish populations -- Michigan, Lake.",Nuclear reactors.,,,,,,eng
"Hydrological surveys for the Locust Point Power Plant. Part 1, General studies / John C. Ayers and Robert F. Anderson.",(dlps) 4738113.0001.001,http://name.umdl.umich.edu/4738113.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738113.0001.001,1969,text,"Ayers, John C. (John Carr), 1912-","Anderson, Robert F.",Toledo Edison Company.,University of Michigan. Great Lakes Research Division.,,,,,"1 v. (various pagings) : ill., maps ; 28 cm.",Under contract with the Toledo Edison Company.,Includes bibliographical references.,,,,The University of Michigan Great Lakes Digital Library,,Locust Point Power Plant -- Environmental aspects.,,,,,,,eng
"Limnological characteristics of northern Lake Michigan, 1976 / by Claire L. Schelske ... [et al.].",(dlps) 4739915.0001.001,http://name.umdl.umich.edu/4739915.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739915.0001.001,1983,text,"Schelske, Claire L.",University of Michigan. Great Lakes Research Division.,,,,,,,"xiv, 245 p. : ill., map ; 28 cm.",December 1983.,Loose-leaf.,Includes bibliographies.,"pt. 1. Physical-chemical conditions / by Claire L. Schelske, Russell A. Moll, and Thomas D. Berry--pt. 2. Phytoplankton population studies / by Eugene F. Stoermer.",,The University of Michigan Great Lakes Digital Library,,"Limnology -- Michigan, Lake.","Phytoplankton -- Michigan, Lake.","Ecology -- Environmental aspects -- Michigan, Lake.",,,,,eng
"Seasonal abundance and spatial distribution of Lake Michigan macrobenthos, 1964-67 / Wayne P. Alley and Samuel C. Mozley.",(dlps) 4738439.0001.001,http://name.umdl.umich.edu/4738439.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738439.0001.001,1975,text,"Alley, Wayne Paul.","Mozley, Samuel C.",University of Michigan. Great Lakes Research Division.,,,,,,"v, 103 p. : ill. ; 28 cm.",Includes bibliographical references (p. 63-66).,,,,,The University of Michigan Great Lakes Digital Library,,"Benthos -- Michigan, Lake.",,,,,,,eng
"Winter operations, 1970-1971 / John C. Ayers, Norbert W. O'Hara, William L. Yocum.",(dlps) 4740575.0001.001,http://name.umdl.umich.edu/4740575.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740575.0001.001,1971,text,"Ayers, John C. (John Carr), 1912-","O'Hara, Norbert W.","Yocum, William L.",University of Michigan. Great Lakes Research Division.,,,,,37 p. : ill. ; 28 cm.,Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Ice on rivers, lakes, etc. -- Michigan, Lake.","Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
"Cook Plant preoperational studies, 1969 / John C. Ayers ... [et al.].",(dlps) 4740515.0001.001,http://name.umdl.umich.edu/4740515.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740515.0001.001,1970,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,92 p. : maps ; 28 cm.,Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,,eng
"Phytoplankton associations in Lake Ontario during IFYGL / Eugene F. Stoermer and Theodore B. Ladewski ; project officer, Andrew Robertson, Great Lakes Environmental Research Laboratory, National Oceanic and Atmospheric Administration, Ann Arbor, Mich.",(dlps) 4738931.0001.001,http://name.umdl.umich.edu/4738931.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738931.0001.001,1978,text,"Stoermer, Eugene F., 1934-","Ladewski, Theodore B., author.","Robertson, Andrew, 1936-",International Field Year for the Great Lakes.,Great Lakes Environmental Research Laboratory.,University of Michigan. Great Lakes Research Division.,,,106 p. : ill. ; 28 cm.,Bibliography: p. 106.,,,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Ontario, Lake (N.Y. and Ont.)",,,,,,,eng
"Entrainment of phytoplankton at the Donald C. Cook Nuclear Plant, 1979 / Ronald Rossmann, William Chang, James Barres.",(dlps) 4742370.0001.001,http://name.umdl.umich.edu/4742370.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742370.0001.001,1982,text,"Rossmann, Ronald.","Chang, William.","Barres, James.",University of Michigan. Great Lakes Research Division.,,,,,"xii, 98 p. : ill. ; 28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.","July, 1982.",,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
"Analog computing techniques applied to atmospheric diffusion continuous point source / by Fred V. Brock, E. Wendell Hewson.",(dlps) 3486419.0001.001,http://name.umdl.umich.edu/3486419.0001.001,"Ann Arbor, Mich. :: The University of Michigan, College of Engineering, Dept. of Engineering Mechanics, Meteorological Laboratories,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3486419.0001.001,1961,text,"Brock, Fred V.","Hewson, E. Wendell (Edgar Wendell), 1910-",University of Michigan. Meteorological Laboratories.,University of Michigan. Great Lakes Research Division.,,,,Unspecified,"ix, 56 p. : ill. ; 28 cm.",Cover title.,"Electronic text and image data. Ann Arbor, Mich. : University of Michigan, Digital Library Initiatives, 2000. Includes TIFF files and keyword searchable text. ([University of Michigan Technical Reports])",,,,The University of Michigan Great Lakes Digital Library,Science,Turbulent diffusion (Meteorology) -- Mathematical models.,Turbulent diffusion (Meteorology) -- Data processing.,Atmospheric diffusion -- Mathematical models.,,,,,eng
"Exploration of collateral data potentially applicable to Great Lakes hydrography and fisheries. Phase II, Final report Charles F. Powers, David L. Jones, Paul C. Mundinger, John C. Ayers.",(dlps) 3480973.0001.001,http://name.umdl.umich.edu/3480973.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Institute, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3480973.0001.001,1959,text,"Powers, Charles F.","Powers, Charles F.","Jones, David L.","Mundinger, Paul C.","Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Institute.,,,"iv, 164 p. : ill., maps ; 28 cm.",Cover title.,Includes bibliographical references.,"Electronic text and image data. Ann Arbor, Mich. : University of Michigan, Digital Library Initiatives, 2000. Includes TIFF files and keyword searchable text. ([University of Michigan Technical Reports])",,,The University of Michigan Great Lakes Digital Library,,Hydrography -- Great Lakes.,,,,,,,eng
Studies on the environment and eutrophication of Lake Michigan / John C. Ayers and David C. Chandler.,(dlps) 4737722.0001.001,http://name.umdl.umich.edu/4737722.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737722.0001.001,1967,text,"Ayers, John C. (John Carr), 1912-","Chandler, D. C., author. (David Culbertson), 1906-",University of Michigan. Great Lakes Research Division.,,,,,,"viii, 415 p. : ill. ; 28 cm.",Cover title.,Includes bibliography.,,,,The University of Michigan Great Lakes Digital Library,,"Limnology -- Michigan, Lake.","Freshwater biology -- Michigan, Lake.",Freshwater ecology.,,,,,eng
"Macroinvertebrate bottom fauna of the Gambia River, West Africa / by Marion J. Van Maren.",(dlps) 2446953.0001.001,http://name.umdl.umich.edu/2446953.0001.001,"Ann Arbor, Mich. :: Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:2446953.0001.001,1985,text,"Van Maren, Marion J.",,,,,,,,"v, 118 p. : ill. ; 28 cm.",,,,,,The University of Michigan Great Lakes Digital Library,,Aquatic invertebrates -- Gambia River.,Benthos -- Gambia River.,Stream ecology -- Gambia River.,,,,,eng
Trace metals in Lake Huron waters : 1980 intensive surveillance / by Ronald Rossmann.,(dlps) 4739938.0001.001,http://name.umdl.umich.edu/4739938.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739938.0001.001,1983,text,"Rossmann, Ronald.",United States. Environmental Protection Agency.,University of Michigan. Great Lakes Research Division.,,,,,,"x, 77 p. : maps ; 28 cm.","Under contract with: United States Environmental Protection Agency, [Great Lakes National Program Office], grants R-005510-01-0, R-005510-02-0 and R-005510-03-0.",February 1983.,Bibliography: p. 61-62.,,,The University of Michigan Great Lakes Digital Library,,"Trace elements in water -- Huron, Lake (Mich. and Ont.)","Metals -- Environmental aspects -- Huron, Lake (Mich. and Ont.)",,,,,,eng
The biological survey of 10 July 1970 / John C. Ayers ... [et al.].,(dlps) 4740578.0001.001,http://name.umdl.umich.edu/4740578.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740578.0001.001,1972,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,72 leaves ;  28 cm.,Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Freshwater biology -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,,eng
Computer evaluation of double-theodolite data by W. Gale Biggs.,(dlps) 3486416.0001.001,http://name.umdl.umich.edu/3486416.0001.001,"Ann Arbor, Mich. :: The University of Michigan, College of Engineering, Dept. of Engineering Mechanics, Meteorological Laboratories,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3486416.0001.001,1962,text,"Biggs, W. Gale (Walter Gale), 1935-",University of Michigan. Meteorological Laboratories.,University of Michigan. Great Lakes Research Division.,,,,,Unspecified,"16, [8] p. : ill. ; 28 cm.",Cover title.,Bibliography: p. 16.,"Electronic text and image data. Ann Arbor, Mich. : University of Michigan, Digital Library Initiatives, 2000. Includes TIFF files and keyword searchable text. ([University of Michigan Technical Reports])",,,The University of Michigan Great Lakes Digital Library,Science,Winds -- Speed,Theodolites.,"Balloons, Pilot.",,,,,eng
"Field distribution and entrainment of fish larvae and eggs at the Donald C. Cook Nuclear Power Plant, southeastern Lake Michigan : 1973-1979 / David L. Bimber...[et al.].",(dlps) 4740103.0001.001,http://name.umdl.umich.edu/4740103.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740103.0001.001,1984,text,"Bimber, David L.",University of Michigan. Great Lakes Research Division.,,,,,,,"xv, 320 p. : ill. ; 28 cm.",Cover title.,"Ronald Rossmann, Project Director.","Under contract with American Electric Power Service Corporation, Indiana & Michigan Electric Company.",Bibliography: p. 139-145.,,The University of Michigan Great Lakes Digital Library,,"Fishes -- Eggs -- Michigan, Lake.","Fishes -- Larvae -- Michigan, Lake.","Fishes -- Larvae -- Michigan, Lake.","Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Industries -- Michigan.,Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,eng
"Effects of heated discharge and entrainment on benthos in the vicinity of the J.H. Campbell Plant, eastern Lake Michigan, 1978-1981 / Michael H. Winnell and David J. Jude.",(dlps) 4739901.0001.001,http://name.umdl.umich.edu/4739901.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739901.0001.001,1982,text,"Winnell, Michael H.","Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,"vi, 202 p. : ill. ; 28 cm.",Bibliography: p. 161-166.,,,,,The University of Michigan Great Lakes Digital Library,,"Freshwater invertebrates -- Effect of temperature on. -- Michigan, Lake","Thermal pollution of rivers, lakes, etc. -- Michigan, Lake.","Benthos -- Michigan, Lake.",J.H. Campbell Power Plant -- Environmental aspects.,,,,eng
"Winter operations, 1971-1972 / John C. Ayers, William L. Yocum.",(dlps) 4741362.0001.001,http://name.umdl.umich.edu/4741362.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4741362.0001.001,1972,text,"Ayers, John C. (John Carr), 1912-","Yocum, William L.",University of Michigan. Great Lakes Research Division.,,,,,,22 leaves : ill. ; 29 cm. +,Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Ice on rivers, lakes, etc. -- Michigan, Lake.","Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
Phytoplankton assemblages of the nearshore zone of southern Lake Michigan / by E. F. Stoermer and Marc L. Tuchman.,(dlps) 4739839.0001.001,http://name.umdl.umich.edu/4739839.0001.001,"[Ann Arbor, Mich.? :: s.n.,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739839.0001.001,1979,text,"Stoermer, Eugene F., 1934-","Tuchman, Marc Lawrence.",University of Michigan. Great Lakes Research Division.,,,,,,1xx p. ;  28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Michigan, Lake.",,,,,,,eng
"Inshore Lake Michigan fish population near the Donald C. Cook Nuclear Power Plant, 1973 / by D.J. Jude ... [et al.].",(dlps) 4738432.0001.001,http://name.umdl.umich.edu/4738432.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738432.0001.001,1975,text,"Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,,"v, 267 p. : ill. ; 28 cm.",Includes bibliographical references (p. 258-267).,,,,,The University of Michigan Great Lakes Digital Library,,"Fish populations -- Michigan, Lake.",,,,,,,eng
Winter Operations : March 1970 / Norbert W. O'Hara ... [et al.].,(dlps) 4740519.0001.001,http://name.umdl.umich.edu/4740519.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740519.0001.001,1970,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,"1xx p. : ill., graphs ; 28 cm.",Cover title.,Under contract with: Indiana & Michigan Electric Company.,,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.","Freshwater animals -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,eng
"Underwater operations in southeastern Lake Michigan near the Donald C. Cook Nuclear Plant during 1974 / John A. Dorr III, Timothy J. Miller.",(dlps) 4742335.0001.001,http://name.umdl.umich.edu/4742335.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742335.0001.001,1975,text,"Dorr, John A., III.","Miller, Timothy J.",University of Michigan. Great Lakes Research Division.,,,,,,"x, 32 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",Includes bibliographies.,,,The University of Michigan Great Lakes Digital Library,,"Freshwater biology -- Michigan, Lake.",,,,,,,eng
Trace metal concentrations in the offshore waters and sediments of Lake Superior / Ronald Rossmann.,(dlps) 4740228.0001.001,http://name.umdl.umich.edu/4740228.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740228.0001.001,1986,text,"Rossmann, Ronald.",United States. Environmental Protection Agency.,University of Michigan. Great Lakes Research Division.,,,,,,"xi, 122 p. : ill. ; 28 cm.",Cover title.,Bibliography: p. 112-113.,,,,The University of Michigan Great Lakes Digital Library,,"Trace elements in water -- Superior, Lake.","Lake sediments -- Superior, Lake.",,,,,,eng
"Phytoplankton of the seasonal surveys of 1976, of September 1970, and pre- vs. post-operational comparisons at Cook Nuclear Plant / John C. Ayers.",(dlps) 4742350.0001.001,http://name.umdl.umich.edu/4742350.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742350.0001.001,1978,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,"140, 12 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
The Great Lakes and the University of Michigan / the Great Lakes Research Institute.,(dlps) 3560642.0001.001,http://name.umdl.umich.edu/3560642.0001.001,"[Ann Arbor, Mich. :: The Institute,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3560642.0001.001,1955,text,University of Michigan. Great Lakes Research Division.,,,,,,,Unspecified,8 leaves : ill. ; 28 cm.,Cover title.,Series stamped on cover.,,,,The University of Michigan Great Lakes Digital Library,Science,Great Lakes -- Research.,University of Michigan. -- Great Lakes Research Division.,,,,,,eng
"Phytoplankton composition and abundance in southern Lake Huron / by E.F. Stoermer and R.G. Kreis, Jr.",(dlps) 4739250.0001.001,http://name.umdl.umich.edu/4739250.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739250.0001.001,1978,text,"Stoermer, Eugene F., 1934-","Kreis, Russell George, Jr.",University of Michigan. Great Lakes Research Division.,,,,,,1xx p. ;  28 cm.,Cover title.,Series stamped on cover.,,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Huron, Lake.",Limnology.,,,,,,eng
"Exploration of collateral data potentially applicable to Great Lakes hydrography and fisheries. Phase I, Final report / Charles F. Powers, David L. Jones, John C. Ayers.",(dlps) 4361485.0001.001,http://name.umdl.umich.edu/4361485.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Institute,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4361485.0001.001,1958,text,"Powers, Charles F.","Jones, David L.","Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,U.S. Fish and Wildlife Service.,,,,"159 p. : ill., maps ; 28 cm.",Cover title.,Bibliography: p. 139-159.,,,,The University of Michigan Great Lakes Digital Library,,Water -- Analysis.,Great Lakes.,Great Lakes -- Research.,,,,,eng
"Status of organic contaminants in Lake Huron : atmosphere, water, algae, fish, Herring Gull eggs, and sediment / Russell G. Kreis, Jr. and Clifford P. Rice.",(dlps) 4740146.0001.001,http://name.umdl.umich.edu/4740146.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740146.0001.001,1985,text,"Kreis, Russell G.","Rice, Clifford P.",United States. Environmental Protection Agency.,University of Michigan. Great Lakes Research Division.,,,,,"viii, 169, 11 p. : ill., maps ; 28 cm.",Cover title.,"Under contract with: United States Environmental Protection Agency, Great Lakes National Program Office, Region V.","Grants R005510010, R005510020, and R005510030.",Bibliography: p. 169.,,The University of Michigan Great Lakes Digital Library,,"Water -- Pollution -- Huron, Lake (Mich. and Ont.)","Huron, Lake (Mich. and Ont.)",,,,,,eng
"Psammolittoral investigation 1972 / Erwin Seibel, James C. Roth, John A. Stewart, Susan L. Williams.",(dlps) 4742310.0001.001,http://name.umdl.umich.edu/4742310.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742310.0001.001,1973,text,"Seibel, Erwin.","Roth, James C.","Stewart, John A.","Williams, Susan L.",University of Michigan. Great Lakes Research Division.,,,,63 p. : graphs ; 28 cm.,Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",July 1973.,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater animals -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
"Program of aquatic studies related to the Donald C. Cook Nuclear Plant / John C. Ayers, Erwin Seibel.",(dlps) 4742316.0001.001,http://name.umdl.umich.edu/4742316.0001.001,"Ann Arbor, Mich. :: University of Michgan Great Lakes Research Division,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742316.0001.001,1973,text,"Ayers, John C. (John Carr), 1912-","Seibel, Erwin.",University of Michigan. Great Lakes Research Division.,,,,,,"ii, 57 p. : ill. ; 28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.","Issued with Johnston, E.M. Effect of a thermal discharge on benthos populations. Ann Arbor : University of Michigan Great Lakes Research Division.",Includes bibliographical references (p. 56-57).,,The University of Michigan Great Lakes Digital Library,,Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,,,eng
Effect of a thermal discharge on benthos populations : statistical methods for assessing the impact of the Cook nuclear plant / Edward M. Johnston.,(dlps) 4747818.0001.001,http://name.umdl.umich.edu/4747818.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4747818.0001.001,1973,text,"Johnston, Edward M.",University of Michigan. Great Lakes Research Division.,,,,,,,"iii, 19 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",Includes bibliographical references.,,,The University of Michigan Great Lakes Digital Library,,"Thermal pollution of rivers, lakes, etc.","Benthos -- Michigan, Lake.",Donald C. Cook Plant -- Environmental aspects.,,,,,eng
"A standard deviation computer by Fred V. Brock, Daniel J. Provine.",(dlps) 3486420.0001.001,http://name.umdl.umich.edu/3486420.0001.001,"Ann Arbor, Mich. :: The University of Michigan, College of Engineering, Dept. of Engineering Mechanics, Meteorological Laboratories,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3486420.0001.001,1961,text,"Brock, Fred V.","Provine, Daniel J.",University of Michigan. Meteorological Laboratories.,University of Michigan. Great Lakes Research Division.,,,,Unspecified,"vii, 25 p. : ill. ; 28 cm.",Cover title.,"Electronic text and image data. Ann Arbor, Mich. : University of Michigan, Digital Library Initiatives, 2000. Includes TIFF files and keyword searchable text. ([University of Michigan Technical Reports])",,,,The University of Michigan Great Lakes Digital Library,Science,Winds -- Measurement.,Atmospheric turbulence -- Measurement,,,,,,eng
"The October 1967, current determinations at the Five Mile and Au Train plant sites : final report to Oxford Paper Company, New York, N.Y. / Robert F. Anderson, John C. Ayers.",(dlps) 4738117.0001.001,http://name.umdl.umich.edu/4738117.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738117.0001.001,1967,text,"Anderson, Robert F.","Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,"5, [26] leaves ;  28 cm.",Chiefly tables.,"November 31, 1967.","ORA-68-306-P1, Oxford Paper Co. Lake Superior Currents.",,,The University of Michigan Great Lakes Digital Library,,"Wood-pulp industry -- Environmental aspects -- Superior, Lake.","Lakes -- Circulation -- Superior, Lake.",,,,,,eng
The currents of Lakes Michigan and Huron / John C. Ayers.,(dlps) 1878438.0001.001,http://name.umdl.umich.edu/1878438.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:1878438.0001.001,1959,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,Unspecified,51 p. : ill. ; 28 cm.,Cover title.,Series stamped on cover.,,,,The University of Michigan Great Lakes Digital Library,Science,"Lakes -- Circulation -- Michigan, Lake.","Lakes -- Circulation -- Huron, Lake.","Michigan, Lake.","Huron, Lake (Mich. and Ont.)",,,,eng
